MOD,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,N1,N2,N3,N4,N5,N6,I1,I2,I3,I4,I5,I6,MEAN_COG,MEAN_REG,MEAN_NORM,MEAN_INT,MOD_bin,MOD_label,Mahalanobis,Mahalanobis_sq,is_outlier,COG_mean,REG_mean,NORM_mean,INT_mean,COG_mean_z,REG_mean_z,NORM_mean_z,INT_mean_z
1,1,2,3,2,6,3,4,4,4,2,5,1,4,4,3,4,3,1,6,1,1,6,2.8,3.4,3.5,3.0,1,EduYes,6.656137869001232,44.30417133115226,False,2.8,3.4,3.5,3.0,-0.21484046694591874,-0.9237445487106637,-0.7657166295307389,-0.9211303469130955
1,2,2,2,2,5,5,2,4,2,4,2,4,6,2,4,5,5,3,2,5,3,4,2.6,3.4,3.83,3.67,1,EduYes,5.468482758200858,29.904303676740067,False,2.6,3.4,3.8333333333333335,3.6666666666666665,-0.39261781240116717,-0.9237445487106637,-0.34371505960435283,-0.302305686553675
1,4,4,4,5,6,5,5,5,5,4,6,4,5,4,5,4,5,4,2,5,2,5,4.6,4.8,4.67,3.83,1,EduYes,4.120873837533742,16.981601184870073,False,4.6,4.8,4.666666666666667,3.8333333333333335,1.3851556421513191,0.8009849055738067,0.7112888652116122,-0.1475995214638196
1,2,2,2,1,3,5,4,4,4,5,4,4,1,4,3,4,4,5,6,2,4,4,2.0,4.4,3.33,4.17,1,EduYes,4.013893490351132,16.11134095188319,False,2.0,4.4,3.3333333333333335,4.166666666666667,-0.9259498487669132,0.30820506149253013,-0.9767174144939317,0.1618128087158908
1,4,2,2,3,3,2,4,3,2,2,4,2,2,5,5,5,6,5,5,4,5,4,2.8,2.6,3.83,4.83,1,EduYes,4.0479007813865024,16.385500735949456,False,2.8,2.6,3.8333333333333335,4.833333333333333,-0.21484046694591874,-1.9093042368732183,-0.34371505960435283,0.7806374690753108
1,5,2,3,4,4,4,3,3,5,5,4,6,1,2,5,4,4,3,3,4,2,5,3.6,4.0,3.67,3.5,1,EduYes,5.316191284660847,28.261889775103946,False,3.6,4.0,3.6666666666666665,3.5,0.49626891487507613,-0.18457478258874763,-0.5547158445675462,-0.45701185164353003
2,2,3,2,5,3,4,2,2,2,4,3,4,5,2,2,2,2,4,5,5,4,3,3.0,2.8,3.0,3.83,0,EduNo,5.885980943722212,34.64477166986102,False,3.0,2.8,3.0,3.8333333333333335,-0.037063121490669926,-1.6629143148325798,-1.3987189844203178,-0.1475995214638196
1,6,6,6,6,6,6,6,6,6,6,6,2,2,2,6,6,5,1,1,6,4,6,6.0,6.0,4.0,3.83,1,EduYes,6.380723198764339,40.71362853924942,False,6.0,6.0,4.0,3.8333333333333335,2.62959706033806,2.279324437817639,-0.13271427464116006,-0.1475995214638196
2,1,1,1,1,1,1,1,3,3,3,2,5,5,5,5,2,3,3,5,2,4,2,1.0,2.2,4.0,3.17,0,EduNo,6.0366852493281264,36.44156879945579,False,1.0,2.2,4.0,3.1666666666666665,-1.8148365760431566,-2.4020840809544954,-0.13271427464116006,-0.7664241818232405
1,2,2,2,2,2,6,6,6,6,6,6,3,6,3,5,5,6,6,5,6,6,6,2.0,6.0,4.67,5.83,1,EduYes,3.94269960060746,15.544880140630225,False,2.0,6.0,4.666666666666667,5.833333333333333,-0.9259498487669132,2.279324437817639,0.7112888652116122,1.7088744596144416
1,4,2,2,2,2,5,3,4,2,4,5,2,4,3,3,3,5,5,2,2,5,4,2.4,3.6,3.33,3.83,1,EduYes,4.303520427624574,18.520288070981994,False,2.4,3.6,3.3333333333333335,3.8333333333333335,-0.570395157856416,-0.6773546266700249,-0.9767174144939317,-0.1475995214638196
1,3,5,5,4,2,3,4,2,2,5,2,1,2,6,1,2,3,4,3,3,2,1,3.8,3.2,2.33,2.67,1,EduYes,6.555005688567994,42.96809957715876,False,3.8,3.2,2.3333333333333335,2.6666666666666665,0.6740462603303246,-1.1701344707513022,-2.2427221242730893,-1.2305426770928058
1,4,3,3,5,6,5,4,5,4,3,4,6,5,5,5,5,5,6,4,6,6,4,4.2,4.2,5.0,5.17,1,EduYes,4.517790295207992,20.410429151475515,False,4.2,4.2,5.0,5.166666666666667,1.0296009512408222,0.061815139451891245,1.1332904351379978,1.0900497992550215
1,2,2,3,2,2,6,2,6,6,4,6,2,2,5,2,5,5,5,5,5,5,5,2.2,4.8,3.67,5.0,1,EduYes,5.206765501892951,27.110406991702554,False,2.2,4.8,3.6666666666666665,5.0,-0.7481725033116644,0.8009849055738067,-0.5547158445675462,0.9353436341651662
1,2,2,2,3,4,5,6,4,4,5,6,2,3,4,6,5,5,5,3,6,5,5,2.6,4.8,4.33,4.83,1,EduYes,3.7880876113739776,14.349607751445008,False,2.6,4.8,4.333333333333333,4.833333333333333,-0.39261781240116717,0.8009849055738067,0.2892872952852255,0.7806374690753108
2,2,1,1,1,1,4,4,4,3,3,4,1,3,3,4,5,6,5,5,6,6,5,1.2,3.6,3.33,5.5,0,EduNo,2.9849789313333326,8.910099220503884,False,1.2,3.6,3.3333333333333335,5.5,-1.637059230587908,-0.6773546266700249,-0.9767174144939317,1.3994621294347316
