MOD,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,N1,N2,N3,N4,N5,N6,I1,I2,I3,I4,I5,I6,MEAN_COG,MEAN_REG,MEAN_NORM,MEAN_INT,MOD_bin,MOD_label,Mahalanobis,Mahalanobis_sq,is_outlier,COG_mean,REG_mean,NORM_mean,INT_mean,COG_mean_z,REG_mean_z,NORM_mean_z,INT_mean_z
1,1,2,3,2,6,3,4,4,4,2,5,1,4,4,3,4,3,1,6,1,1,6,2.8,3.4,3.5,3.0,1,EduYes,6.656137869001232,44.30417133115226,False,2.8,3.4,3.5,3.0,-0.21256812762482463,-0.8341532788255652,-0.7476649418378949,-0.9061822702925811
1,2,2,2,2,5,5,2,4,2,4,2,4,6,2,4,5,5,3,2,5,3,4,2.6,3.4,3.83,3.67,1,EduYes,5.468482758200858,29.904303676740067,False,2.6,3.4,3.8333333333333335,3.6666666666666665,-0.3904188246633596,-0.8341532788255652,-0.3330055628888626,-0.28902723139944175
1,4,4,4,5,6,5,5,5,5,4,6,4,5,4,5,4,5,4,2,5,2,5,4.6,4.8,4.67,3.83,1,EduYes,4.120873837533742,16.981601184870073,False,4.6,4.8,4.666666666666667,3.8333333333333335,1.388088145721992,0.8021320397151782,0.7036428844837177,-0.1347384716761566
1,2,2,2,1,3,5,4,4,4,5,4,4,1,4,3,4,4,5,6,2,4,4,2.0,4.4,3.33,4.17,1,EduYes,4.013893490351132,16.11134095188319,False,2.0,4.4,3.3333333333333335,4.166666666666667,-0.9239709157789653,0.3346219487035378,-0.9549946313124107,0.1738390477704133
1,4,2,2,3,3,2,4,3,2,2,4,2,2,5,5,5,6,5,5,4,5,4,2.8,2.6,3.83,4.83,1,EduYes,4.0479007813865024,16.385500735949456,False,2.8,2.6,3.8333333333333335,4.833333333333333,-0.21256812762482463,-1.769173460848847,-0.3330055628888626,0.7909940866635523
1,5,2,3,4,4,4,3,3,5,5,4,6,1,2,5,4,4,3,3,4,2,5,3.6,4.0,3.67,3.5,1,EduYes,5.316191284660847,28.261889775103946,False,3.6,4.0,3.6666666666666665,3.5,0.49883466052931635,-0.13288814230810359,-0.540335252363379,-0.4433159911227265
2,2,3,2,5,3,4,2,2,2,4,3,4,5,2,2,2,2,4,5,5,4,3,3.0,2.8,3.0,3.83,0,EduNo,5.885980943722212,34.64477166986102,False,3.0,2.8,3.0,3.8333333333333335,-0.03471743058628929,-1.5354184153430268,-1.369654010261443,-0.1347384716761566
1,6,6,6,6,6,6,6,6,6,6,6,2,2,2,6,6,5,1,1,6,4,6,6.0,6.0,4.0,3.83,1,EduYes,6.380723198764339,40.71362853924942,False,6.0,6.0,4.0,3.8333333333333335,2.6330430249917387,2.2046623127501013,-0.12567587341434677,-0.1347384716761566
2,1,1,1,1,1,1,1,3,3,3,2,5,5,5,5,2,3,3,5,2,4,2,1.0,2.2,4.0,3.17,0,EduNo,6.0366852493281264,36.44156879945579,False,1.0,2.2,4.0,3.1666666666666665,-1.8132244009716412,-2.2366835518604877,-0.12567587341434677,-0.7518935105692964
1,2,2,2,2,2,6,6,6,6,6,6,3,6,3,5,5,6,6,5,6,6,6,2.0,6.0,4.67,5.83,1,EduYes,3.94269960060746,15.544880140630225,False,2.0,6.0,4.666666666666667,5.833333333333333,-0.9239709157789653,2.2046623127501013,0.7036428844837177,1.7167266450032617
